TF,Target
YDR253C,YAL012W
YFL031W,YAL022C
YPL075W,YAL038W
YGL209W,YAL044C
YBL021C,YAL044C
YJL089W,YAL054C
YAL051W,YAL054C
YKL185W,YAL060W
YMR280C,YAL062W
YJR060W,YAR071W
YKL109W,YBL015W
YFL021W,YBL015W
YEL009C,YBL030C
YKL109W,YBL030C
YBL021C,YBL030C
YGL209W,YBL030C
YKL109W,YBL045C
YBR083W,YBL045C
YML007W,YBL064C
YKL062W,YBL064C
YBL103C,YBL076C
YKL109W,YBL099W
YEL009C,YBL099W
YOR358W,YBR003W
YHR206W,YBR003W
YNL167C,YBR004C
YGL166W,YBR004C
YKR064W,YBR004C
YBR182C,YBR004C
YKL112W,YBR004C
YGR044C,YBR006W
YMR021C,YBR018C
YCL055W,YBR023C
YPL089C,YBR023C
YGR044C,YBR026C
YDR123C,YBR029C
YHR206W,YBR035C
YBL103C,YBR036C
YDR146C,YBR038W
YLR131C,YBR038W
YKL109W,YBR039W
YEL009C,YBR039W
YKR034W,YBR068C
YDR253C,YBR069C
YPL089C,YBR069C
YDR034C,YBR085W
YMR042W,YBR092C
YBL103C,YBR115C
YOR337W,YBR115C
YMR037C,YBR126C
YNL314W,YBR126C
YKL062W,YBR126C
YIL101C,YBR132C
YCR065W,YBR132C
YKL062W,YBR145W
YBL103C,YBR145W
YOR337W,YBR145W
YMR037C,YBR149W
YNL314W,YBR153W
YOR028C,YBR161W
YMR070W,YBR161W
YBR182C,YBR180W
YNL204C,YBR180W
YPR065W,YBR183W
YBR182C,YBR183W
YPL075W,YBR196C
YNL204C,YBR196C
YFL031W,YBR196C
YDR253C,YBR213W
YEL009C,YBR221C
YPR065W,YBR244W
YBL103C,YBR248C
YOR337W,YBR248C
YEL009C,YBR249C
YPL089C,YBR249C
YBL103C,YBR256C
YJL089W,YBR256C
YOL067C,YBR263W
YCR065W,YBR263W
YPR065W,YBR265W
YDR034C,YBR291C
YDR253C,YBR294W
YOR363C,YBR294W
YJR060W,YBR296C
YKL109W,YBR298C
YPL248C,YBR299W
YEL009C,YCL009C
YMR021C,YCL009C
YFL021W,YCL025C
YBL103C,YCL025C
YOR337W,YCL030C
YNL216W,YCL035C
YKL062W,YCL038C
YMR037C,YCL040W
YGL209W,YCL040W
YKL062W,YCL040W
YDR253C,YCL040W
YNL314W,YCL040W
YNL027W,YCR005C
YJL089W,YCR010C
YPL075W,YCR012W
YDR123C,YCR024C
YNL068C,YCR024C-A
YEL009C,YCR024C-A
YBR182C,YCR028C
YKL062W,YCR036W
YPR065W,YCR048W
YKL109W,YDL004W
YNL204C,YDL015C
YOR028C,YDL022W
YMR037C,YDL022W
YLR451W,YDL022W
YDL056W,YDL052C
YGR044C,YDL055C
YFL031W,YDL055C
YGL035C,YDL066W
YDL170W,YDL066W
YEL009C,YDL067C
YKL109W,YDL067C
YJL089W,YDL085W
YBR083W,YDL090C
YPR065W,YDL093W
YEL009C,YDL100C
YDL170W,YDL131W
YDR216W,YDL131W
YFL021W,YDL141W
YGL035C,YDL141W
YOR028C,YDL168W
YNL103W,YDL168W
YJR094C,YDL168W
YDR034C,YDL182W
YHR206W,YDL182W
YDL170W,YDL182W
YEL009C,YDL198C
YBL103C,YDL198C
YDL170W,YDL198C
YKR034W,YDL210W
YMR037C,YDR001C
YKL062W,YDR001C
YCL055W,YDR007W
YKL062W,YDR019C
YBR182C,YDR019C
YGL209W,YDR019C
YBL005W,YDR019C
YDR034C,YDR035W
YDL170W,YDR035W
YDR034C,YDR037W
YPR065W,YDR044W
YKL062W,YDR044W
YBR083W,YDR044W
YKL112W,YDR050C
YHR124W,YDR058C
YFL031W,YDR062W
YBR182C,YDR072C
YMR037C,YDR074W
YKL062W,YDR074W
YOR028C,YDR074W
YFL031W,YDR074W
YGL209W,YDR074W
YKL109W,YDR148C
YDR034C,YDR158W
YBL103C,YDR158W
YDL056W,YDR173C
YDL020C,YDR173C
YDR216W,YDR178W
YKL109W,YDR178W
YDR216W,YDR204W
YHR178W,YDR204W
YDL020C,YDR208W
YEL009C,YDR226W
YKL109W,YDR232W
YEL009C,YDR232W
YJL089W,YDR256C
YKL062W,YDR256C
YKL112W,YDR261C
YDR259C,YDR261C
YHR178W,YDR294C
YPR065W,YDR297W
YKL062W,YDR297W
YKL109W,YDR298C
YEL009C,YDR298C
YKL109W,YDR315C
YBL005W,YDR321W
YKL109W,YDR343C
YDR216W,YDR343C
YBR083W,YDR343C
YKL062W,YDR343C
YGL209W,YDR345C
YEL009C,YDR354W
YKL015W,YDR354W
YDL170W,YDR354W
YGL035C,YDR367W
YOR028C,YDR368W
YHR178W,YDR368W
YHR124W,YDR368W
YDL056W,YDR368W
YKL109W,YDR377W
YMR037C,YDR377W
YKL062W,YDR384C
YOR363C,YDR384C
YJL110C,YDR399W
YNL204C,YDR402C
YFL021W,YDR481C
YKR034W,YDR481C
YDR123C,YDR497C
YOR028C,YDR513W
YPR065W,YDR513W
YKL109W,YDR529C
YDL056W,YDR531W
YMR070W,YDR536W
YML099C,YDR536W
YEL009C,YEL017C-A
YFR034C,YEL017C-A
YKL109W,YEL024W
YPR065W,YEL024W
YLR256W,YEL024W
YKL038W,YEL024W
YGL209W,YEL024W
YOL028C,YEL039C
YEL009C,YEL046C
YKL185W,YEL047C
YPR065W,YEL047C
YHR206W,YEL047C
YPL089C,YEL058W
YDL170W,YEL063C
YKL062W,YEL069C
YKL112W,YEL071W
YMR037C,YER015W
YJL089W,YER015W
YOL028C,YER015W
YOR363C,YER015W
YEL009C,YER024W
YJL089W,YER024W
YKL062W,YER024W
YDR123C,YER026C
YNL204C,YER026C
YGR044C,YER037W
YGL209W,YER037W
YPL089C,YER037W
YBL103C,YER052C
YEL009C,YER052C
YER040W,YER052C
YOR337W,YER052C
YKL109W,YER053C
YKL062W,YER053C
YMR037C,YER053C
YGL035C,YER053C
YKL112W,YER053C
YBL103C,YER055C
YOR337W,YER055C
YLR176C,YER055C
YGL209W,YER060W
YGL035C,YER060W
YDL170W,YER060W
YPL248C,YER060W
YKL185W,YER060W
YMR037C,YER062C
YBR083W,YER062C
YJL089W,YER065C
YOL028C,YER065C
YBL103C,YER069W
YER040W,YER069W
YDR034C,YER073W
YER040W,YER073W
YKL112W,YER081W
YEL009C,YER086W
YHR206W,YER086W
YKL112W,YER086W
YDL170W,YER090W
YDR253C,YER091C
YIL101C,YER119C
YKL062W,YER141W
YFL021W,YER152C
YFL031W,YER152C
YGL254W,YER170W
YBL103C,YER175C
YJL089W,YER175C
YNL314W,YER175C
YDL170W,YER175C
YEL009C,YER178W
YMR280C,YFL011W
YJL089W,YFL022C
YGL166W,YFL030W
YFL031W,YFL045C
YKL062W,YFR015C
YIL101C,YFR015C
YLR256W,YFR015C
YDR253C,YFR030W
YKL109W,YFR033C
YGL209W,YFR033C
YMR070W,YFR033C
YDR216W,YFR053C
YKL062W,YFR053C
YMR037C,YFR053C
YNL068C,YGL008C
YLR098C,YGL008C
YGL013C,YGL012W
YOL028C,YGL012W
YKL062W,YGL037C
YDL170W,YGL037C
YEL009C,YGL055W
YKL109W,YGL055W
YKL062W,YGL062W
YFL031W,YGL063W
YDR123C,YGL077C
YER111C,YGL080W
YER111C,YGL125W
YDR253C,YGL125W
YBR182C,YGL154C
YDR253C,YGL184C
YGL071W,YGL184C
YKL109W,YGL187C
YEL009C,YGL187C
YKL038W,YGL187C
YGL209W,YGL187C
YKL109W,YGL191W
YKL038W,YGL191W
YPR065W,YGL191W
YEL009C,YGL202W
YOR337W,YGL202W
YKL062W,YGL205W
YOR363C,YGL205W
YCR065W,YGL225W
YDR423C,YGL225W
YGL209W,YGL234W
YGR044C,YGL248W
YPL089C,YGL248W
YGL209W,YGL253W
YJL056C,YGL256W
YGR044C,YGR019W
YDR216W,YGR032W
YGL166W,YGR032W
YLR256W,YGR032W
YPL089C,YGR032W
YOR028C,YGR032W
YBL005W,YGR060W
YBL103C,YGR065C
YJL089W,YGR065C
YDR253C,YGR087C
YGR044C,YGR088W
YKL062W,YGR088W
YMR070W,YGR088W
YGL035C,YGR094W
YDR123C,YGR096W
YMR043W,YGR096W
YJL089W,YGR110W
YKL062W,YGR110W
YER040W,YGR110W
YPR065W,YGR110W
YFL021W,YGR121C
YKL062W,YGR138C
YOL028C,YGR138C
YLR098C,YGR138C
YKL062W,YGR143W
YOL108C,YGR157W
YMR037C,YGR180C
YHR206W,YGR180C
YKL109W,YGR183C
YPR065W,YGR183C
YMR070W,YGR191W
YHR206W,YGR194C
YKL062W,YGR194C
YML007W,YGR209C
YPL075W,YGR240C
YKL109W,YGR243W
YGL071W,YGR248W
YMR037C,YGR248W
YKL062W,YGR248W
YIL101C,YGR248W
YJL089W,YGR256W
YEL009C,YGR282C
YLR176C,YGR287C
YKL109W,YGR289C
YOL028C,YGR289C
YEL009C,YHL011C
YKR034W,YHL016C
YBR182C,YHL016C
YOL028C,YHL032C
YDR253C,YHL036W
YKL109W,YHR001W-A
YPR065W,YHR001W-A
YOR028C,YHR011W
YJL089W,YHR018C
YDL170W,YHR018C
YBL103C,YHR018C
YOR337W,YHR018C
YDR034C,YHR018C
YEL009C,YHR026W
YPL075W,YHR046C
YMR042W,YHR046C
YNL068C,YHR046C
YKL109W,YHR051W
YGR044C,YHR067W
YOL108C,YHR067W
YDR123C,YHR067W
YGL209W,YHR092C
YKL062W,YHR092C
YGL209W,YHR094C
YDR216W,YHR094C
YGL035C,YHR094C
YGL035C,YHR096C
YJL089W,YHR096C
YGL166W,YHR096C
YGR044C,YHR104W
YKR034W,YHR104W
YHR206W,YHR104W
YKL038W,YHR123W
YPR065W,YHR123W
YHR206W,YHR128W
YDL020C,YHR137W
YHR084W,YHR144C
YDR216W,YHR144C
YOL028C,YHR144C
YEL009C,YHR162W
YOR337W,YHR162W
YHR206W,YHR190W
YDR216W,YHR208W
YMR037C,YHR216W
YOR358W,YHR216W
YKL062W,YHR216W
YPL075W,YHR216W
YKL185W,YIL009W
YMR037C,YIL053W
YPL075W,YIL053W
YKL109W,YIL053W
YBR083W,YIL053W
YIL101C,YIL066C
YBL021C,YIL066C
YCR065W,YIL066C
YDR253C,YIL074C
YLR256W,YIL083C
YNL027W,YIL083C
YEL009C,YIL094C
YDR034C,YIL094C
YIL101C,YIL099W
YKL062W,YIL111W
YPR065W,YIL111W
YDL020C,YIL111W
YKL185W,YIL111W
YGR044C,YIL111W
YOR337W,YIL116W
YBL103C,YIL116W
YGL209W,YIL124W
YAL051W,YIL145C
YDR216W,YIL155C
YPR065W,YIL155C
YOR363C,YIL160C
